coin,date,VPDReplay,MomentumCore,MaxPriceReturn%,DayReturn%,Vol3/10,TodayValue/10,IntraAccel,WPI5,VWPI5,LowerDays5,UpperDays5,LowerWickTotal5,UpperWickTotal5,D1%,D3%,D5%,MFE5%,MAE5%
CPOOL,2026-07-31,17.0,→,3.44,1.15,0.35,0.27,0.85,28.78,25.22,4,1,2.1282,1.177,-1.51,-0.75,-3.02,3.4,-8.68
CPOOL,2026-08-01,17.0,↓,3.4,-1.51,0.26,0.23,0.71,31.87,31.66,4,0,2.1401,1.1056,0.77,-1.53,-2.68,3.07,-7.28
CPOOL,2026-08-02,32.0,→,3.07,0.77,0.47,0.24,0.49,8.16,14.47,3,1,2.0234,1.7181,0.0,-2.28,-4.18,1.52,-7.98
CPOOL,2026-08-03,44.0,↓,1.52,0.0,0.56,0.67,1.16,-32.71,-19.88,2,2,1.2053,2.3772,-2.28,-3.42,-4.94,0.38,-7.98
CPOOL,2026-08-04,44.0,→,0.38,-2.28,0.67,0.8,1.29,-22.97,-15.39,2,2,1.6598,2.6499,0.0,-1.95,-1.56,2.33,-3.5
CPOOL,2026-08-05,41.0,→,2.33,0.0,0.79,0.68,1.06,-11.89,-1.22,2,2,1.8801,2.3877,-1.17,-2.72,-2.33,0.78,-3.5
CPOOL,2026-08-06,38.0,↓,0.78,-1.17,0.77,0.63,0.79,-8.27,2.0,3,2,2.0229,2.3877,-0.79,-0.39,0.39,3.15,-2.36
CPOOL,2026-08-07,38.0,↓,1.97,-0.79,0.73,0.55,0.64,10.41,23.18,4,1,2.2646,1.8377,-0.79,-0.4,-3.17,3.97,-5.56
CPOOL,2026-08-08,35.0,↓,0.79,-0.79,0.66,0.55,0.72,20.43,27.09,4,1,2.4868,1.6432,1.2,2.0,-3.2,4.8,-4.8
CPOOL,2026-08-09,36.0,→,2.0,1.2,0.62,0.44,0.58,10.2,20.05,3,2,2.1838,1.7796,-0.79,-3.56,-5.53,3.56,-5.93
CPOOL,2026-08-10,45.0,→,2.37,-0.79,0.69,0.85,1.34,-6.1,-2.38,2,2,1.7877,2.0198,1.59,-3.59,-4.38,4.38,-5.58
CPOOL,2026-08-11,46.0,→,4.38,1.59,0.83,1.03,1.44,-30.28,-31.13,1,3,1.3274,2.4802,-4.31,-6.27,-5.88,0.0,-7.06
CPOOL,2026-08-12,51.0,↓,0.0,-4.31,1.06,1.13,1.34,-40.12,-43.89,0,4,1.1667,2.7302,-0.82,-1.64,-3.69,2.46,-3.69
CPOOL,2026-08-13,41.0,↓,2.46,-0.82,1.06,1.02,1.02,-26.51,-26.78,1,3,1.2974,2.2334,-1.24,-0.83,-4.13,2.89,-5.37
CPOOL,2026-08-14,20.0,↓,1.65,-1.24,0.93,0.53,0.5,-28.21,-28.17,1,3,1.2974,2.3168,0.42,-1.67,0.84,4.18,-7.95
CPOOL,2026-08-15,22.0,→,3.77,0.42,0.95,0.99,1.0,-38.02,-33.64,1,4,1.1367,2.531,0.0,-3.33,4.58,5.83,-8.33
CPOOL,2026-08-16,34.0,→,2.92,0.0,0.89,0.96,1.01,-32.49,-27.84,1,4,1.2074,2.3694,-2.08,0.42,13.75,15.42,-8.33
CPOOL,2026-08-17,44.0,↓,1.25,-2.08,1.19,1.43,1.6,-48.58,-42.9,1,4,0.9931,2.8694,-1.28,6.81,14.04,21.28,-6.38
CPOOL,2026-08-18,53.0,→,5.96,-1.28,1.72,2.7,2.44,-66.53,-65.9,0,5,0.6402,3.1856,3.88,17.67,18.97,30.17,-5.17
CPOOL,2026-08-19,62.0,↑↑,4.31,3.88,1.66,1.39,0.99,-75.7,-73.68,0,5,0.4568,3.3023,4.15,11.2,11.2,25.31,-3.32
CPOOL,2026-08-20,72.0,↑↑,5.39,4.15,1.88,2.19,1.49,-52.9,-47.3,1,4,0.8773,2.8477,8.76,9.96,7.97,20.32,-0.4
CPOOL,2026-08-21,70.0,↑↑,10.36,8.76,2.82,5.86,3.6,-35.54,-23.23,2,3,1.0764,2.2633,-1.83,-1.83,1.1,10.62,-5.86
CPOOL,2026-08-22,76.0,→,4.4,-1.83,2.51,2.8,1.42,-11.8,-21.23,2,3,1.1134,1.4115,2.99,1.12,2.99,12.69,-4.1
CPOOL,2026-08-23,82.0,↑,12.69,2.99,4.11,7.92,3.65,1.34,-10.88,2,3,1.4596,1.4211,-2.9,0.0,-4.35,1.45,-4.71
CPOOL,2026-08-24,51.0,→,0.36,-2.9,2.01,0.48,0.19,8.94,-26.12,2,3,1.554,1.2989,1.12,2.99,-2.99,4.48,-4.48
CPOOL,2026-08-25,38.0,↑,3.36,1.12,1.64,0.34,0.17,-2.58,-28.27,2,3,1.1904,1.2534,1.85,-2.58,,3.32,-5.54
CPOOL,2026-08-26,26.0,→,3.32,1.85,0.5,0.73,0.43,-21.32,-32.83,1,4,1.1095,1.7105,0.0,-5.8,,1.09,-7.25
CPOOL,2026-08-27,23.0,↓,1.09,0.0,0.45,0.36,0.74,-9.1,-25.52,2,3,1.5099,1.8124,-4.35,,,0.72,-7.25
CPOOL,2026-08-28,25.0,↓,0.72,-4.35,0.46,0.35,0.78,-3.37,-26.25,3,2,1.7352,1.8563,-1.52,,,1.52,-3.03
CPOOL,2026-08-29,25.0,↓,1.52,-1.52,0.35,0.33,0.71,7.31,13.38,3,2,1.5574,1.3452,,,,,
FLOCK,2026-07-26,20.0,→,2.87,1.77,0.2,0.14,0.86,-15.61,-18.46,2,3,1.4831,2.0317,-6.94,-13.02,-11.28,1.08,-14.53
FLOCK,2026-07-27,17.0,↓,1.08,-6.94,0.35,0.38,1.03,-9.35,-12.12,2,2,1.5408,1.8586,-1.63,-5.13,-4.9,0.0,-8.16
FLOCK,2026-07-28,32.0,→,0.0,-1.63,0.59,0.45,0.79,-1.73,0.96,2,2,1.305,1.3509,-4.98,-3.08,-4.74,0.0,-6.64
FLOCK,2026-07-29,28.0,↓,0.0,-4.98,0.69,0.49,0.69,29.81,24.15,3,1,1.805,0.9759,1.5,1.75,-1.25,4.49,-2.99
FLOCK,2026-07-30,27.0,→,4.24,1.5,0.6,0.44,0.6,39.72,35.58,3,1,1.7315,0.747,0.49,-1.23,-3.19,2.95,-4.42
FLOCK,2026-07-31,37.0,→,2.46,0.49,0.62,0.59,1.0,15.35,17.35,2,2,1.3775,1.0109,-0.24,-3.18,-1.96,2.44,-5.38
FLOCK,2026-08-01,32.0,→,2.44,-0.24,0.55,0.34,0.56,8.74,12.11,2,3,1.5025,1.2609,-1.47,-3.43,-1.96,1.47,-5.15
FLOCK,2026-08-02,27.0,↓,1.47,-1.47,0.53,0.29,0.48,-18.63,-2.63,2,3,1.4049,2.0481,-1.49,-0.25,-0.75,1.74,-3.73
FLOCK,2026-08-03,28.0,↓,0.75,-1.49,0.42,0.42,0.8,-45.63,-30.83,1,4,0.8424,2.2564,-0.51,1.01,4.55,5.81,-2.27
FLOCK,2026-08-04,23.0,↓,1.52,-0.51,0.45,0.36,0.77,-40.09,-34.41,1,4,1.0299,2.4082,1.78,1.27,4.31,6.6,-1.78
FLOCK,2026-08-05,50.0,→,3.81,1.78,0.68,0.94,2.06,-31.82,-29.0,1,3,1.1971,2.3145,-0.25,3.24,4.24,6.23,-1.75
FLOCK,2026-08-06,39.0,→,2.0,-0.25,0.7,0.58,0.86,-33.1,-31.85,1,3,1.0948,2.1782,-0.25,2.75,0.5,6.5,-1.0
FLOCK,2026-08-07,55.0,↓,1.75,-0.25,1.04,1.19,1.49,-13.37,-11.91,1,3,1.4282,1.8691,3.76,4.76,6.52,8.77,-0.75
FLOCK,2026-08-08,57.0,↑,5.01,3.76,1.18,1.58,1.47,-15.72,-21.4,1,3,1.6282,2.2358,-0.72,-2.9,2.42,4.83,-4.11
FLOCK,2026-08-09,67.0,→,1.45,-0.72,1.34,1.24,1.06,-27.88,-32.63,0,4,1.2776,2.2656,1.7,3.41,0.97,5.6,-3.41
FLOCK,2026-08-10,54.0,↑,3.65,1.7,1.23,0.96,0.72,-38.06,-39.26,0,5,1.143,2.5477,-3.83,1.44,0.48,3.83,-5.02
FLOCK,2026-08-11,67.0,→,1.2,-3.83,1.34,1.78,1.35,-45.9,-47.33,0,5,0.9953,2.6841,5.72,3.23,4.98,7.96,-0.25
FLOCK,2026-08-12,78.0,↑↑,7.96,5.72,2.41,4.88,3.93,-46.09,-43.63,0,5,0.8543,2.3148,-0.24,-1.18,-3.29,1.88,-4.71
FLOCK,2026-08-13,64.0,→,1.88,-0.24,1.78,0.93,0.54,-46.77,-53.24,0,5,0.6846,1.8876,-2.12,-0.47,-6.37,0.71,-7.31
FLOCK,2026-08-14,62.0,→,0.24,-2.12,1.58,0.67,0.38,-39.65,-46.37,0,5,0.9506,2.1996,1.2,-0.96,0.24,2.89,-6.27
FLOCK,2026-08-15,41.0,→,2.41,1.2,0.67,0.52,0.34,-15.26,-31.6,1,4,1.2006,1.6329,0.48,-5.48,6.67,9.52,-7.38
FLOCK,2026-08-16,43.0,→,1.67,0.48,0.58,0.55,0.8,-7.48,-27.17,1,4,1.3063,1.5175,-2.61,-1.42,13.74,17.54,-7.82
FLOCK,2026-08-17,37.0,↓,0.95,-2.61,0.48,0.38,0.66,-2.95,-24.2,2,3,1.5756,1.6714,-3.41,9.0,10.46,22.38,-5.35
FLOCK,2026-08-18,47.0,↓,-0.24,-3.41,0.53,0.6,1.18,4.47,3.28,2,2,1.7119,1.5653,4.79,20.91,17.13,26.7,-2.02
FLOCK,2026-08-19,28.0,↑,5.79,4.79,0.58,0.64,1.18,21.23,24.73,3,1,1.5943,1.0359,7.69,9.13,5.29,20.91,0.0
FLOCK,2026-08-20,65.0,↑↑,10.58,7.69,1.25,2.56,4.47,9.47,10.77,3,1,1.2878,1.0649,7.14,3.79,-4.69,12.28,-6.03
FLOCK,2026-08-21,51.0,↑,10.71,7.14,1.36,1.59,1.48,5.17,-26.77,3,1,1.057,0.953,-5.42,-8.75,-6.67,4.79,-12.29
FLOCK,2026-08-22,70.0,→,4.79,-5.42,1.67,1.79,1.33,-11.57,-46.07,2,2,0.6898,0.8703,2.42,-5.95,0.66,3.74,-7.27
FLOCK,2026-08-23,62.0,↑,3.74,2.42,1.51,1.11,0.56,-5.47,-21.67,3,2,0.9029,1.0074,-5.81,-3.66,-4.09,2.58,-9.46
FLOCK,2026-08-24,57.0,→,0.43,-5.81,1.22,0.76,0.49,0.82,-10.49,3,2,1.1805,1.1613,-2.51,4.34,1.37,8.9,-3.88
FLOCK,2026-08-25,49.0,↓,1.6,-2.51,0.89,0.86,0.69,0.8,-10.42,3,2,1.0807,1.0635,4.92,4.45,,11.71,-0.7
FLOCK,2026-08-26,60.0,↑,8.43,4.92,1.14,1.84,2.13,8.41,5.27,3,2,1.3307,1.1241,2.01,-0.89,,6.47,-2.9
FLOCK,2026-08-27,51.0,→,5.13,2.01,1.06,0.81,0.81,2.23,-5.24,3,2,1.262,1.2068,-2.41,,,4.38,-4.38
FLOCK,2026-08-28,65.0,→,4.38,-2.41,1.24,1.45,1.44,-0.81,-11.44,2,2,1.2711,1.2919,-0.45,,,2.24,-2.02
FLOCK,2026-08-29,38.0,↓,2.24,-0.45,0.76,0.27,0.24,-29.9,-41.87,1,3,0.9204,1.7057,,,,,
TRUST,2026-07-26,49.0,↓,0.53,-1.87,0.87,0.87,0.88,-23.25,-31.7,2,3,1.4135,2.2698,1.09,-7.88,-2.17,11.82,-10.05
TRUST,2026-07-27,87.0,↑,11.82,1.09,7.1,20.92,23.59,-3.0,-6.88,3,2,1.6935,1.7982,-4.7,-5.11,-4.84,6.85,-11.02
TRUST,2026-07-28,48.0,→,0.4,-4.7,2.61,0.65,0.26,-12.63,-52.29,3,2,1.5316,1.9745,-4.37,1.55,-0.42,12.13,-6.63
TRUST,2026-07-29,33.0,→,0.42,-4.37,2.51,0.35,0.14,-16.68,-52.19,3,2,1.3029,1.8245,4.13,4.42,5.9,17.26,-1.47
TRUST,2026-07-30,20.0,↑,5.75,4.13,0.42,0.21,0.08,10.85,-49.56,4,1,1.4434,1.1609,1.98,0.0,5.67,12.61,-2.55
TRUST,2026-07-31,66.0,→,12.61,1.98,1.07,2.62,6.8,1.93,-50.69,3,2,1.2723,1.2241,-1.67,-0.28,1.39,5.0,-4.44
TRUST,2026-08-01,23.0,↓,2.08,-1.67,0.86,0.21,0.24,-29.7,-62.7,2,3,1.0138,1.8706,-0.28,5.37,2.82,6.78,-2.82
TRUST,2026-08-02,25.0,↓,1.27,-0.28,0.88,0.16,0.18,-18.9,-67.75,2,3,1.05,1.5395,1.7,3.4,5.95,7.08,-2.55
TRUST,2026-08-03,23.0,→,3.4,1.7,0.2,0.18,0.2,-23.08,-74.41,2,3,1.2299,1.9681,3.9,1.39,3.2,5.29,-0.56
TRUST,2026-08-04,25.0,↑,4.6,3.9,0.21,0.24,1.3,-23.78,-76.03,2,3,1.3385,2.1738,-2.14,0.27,-1.07,4.02,-4.16
TRUST,2026-08-05,25.0,↓,1.34,-2.14,0.2,0.15,0.75,-24.54,-76.46,2,3,1.2629,2.0844,-0.27,1.51,0.55,6.3,-2.05
TRUST,2026-08-06,23.0,↓,3.29,-0.27,0.19,0.15,0.78,-1.19,-3.1,2,2,1.5192,1.5558,2.75,1.37,-0.82,6.59,-2.75
TRUST,2026-08-07,23.0,→,2.75,2.75,0.31,0.27,0.66,-4.25,-3.33,2,2,1.624,1.7682,-0.94,-1.87,-5.08,3.74,-5.48
TRUST,2026-08-08,25.0,↓,0.94,-0.94,0.29,0.2,0.57,5.73,3.47,2,2,1.5026,1.3397,-0.4,-2.56,-0.94,19.84,-4.59
TRUST,2026-08-09,34.0,↓,4.72,-0.4,0.37,0.58,1.91,4.21,-0.34,2,2,1.5741,1.4468,-0.54,-3.79,-5.42,20.33,-6.23
TRUST,2026-08-10,25.0,→,1.63,-0.54,0.32,0.19,0.52,-17.98,-32.08,2,2,1.5391,2.2141,-1.63,0.0,-3.81,20.98,-5.72
TRUST,2026-08-11,45.0,↓,1.63,-1.63,0.8,0.59,0.76,-21.33,-35.96,2,3,1.5657,2.4146,-1.66,-3.32,-3.74,22.99,-4.16
TRUST,2026-08-12,43.0,↓,2.22,-1.66,0.54,0.46,0.52,-12.62,-30.69,3,2,1.6008,2.063,3.38,-0.56,-1.83,25.07,-3.38
TRUST,2026-08-13,85.0,↑,25.07,3.38,22.7,71.58,125.18,-31.53,-46.57,2,3,1.3427,2.5792,-4.9,-5.31,-5.59,0.0,-7.63
TRUST,2026-08-14,46.0,→,0.0,-4.9,3.36,1.05,0.35,-56.61,-98.18,1,4,0.8427,3.0419,1.15,-0.14,1.86,2.87,-3.15
TRUST,2026-08-15,38.0,↑,2.87,1.15,3.14,0.24,0.08,-40.21,-94.74,2,3,0.9124,2.1394,-1.56,-1.84,3.12,3.4,-4.25
TRUST,2026-08-16,12.0,↓,0.57,-1.56,0.48,0.12,0.04,-49.66,-94.39,2,3,0.7509,2.2326,0.29,2.3,10.22,10.22,-2.73
TRUST,2026-08-17,12.0,→,1.29,0.29,0.17,0.11,0.24,-57.81,-94.6,2,3,0.5492,2.0542,-0.57,4.45,3.3,17.07,-3.01
TRUST,2026-08-18,10.0,→,2.01,-0.57,0.14,0.16,0.99,-28.87,-93.05,3,2,1.0635,1.927,2.6,10.53,4.76,17.75,-2.45
TRUST,2026-08-19,25.0,↑,3.03,2.6,0.15,0.14,1.1,3.88,14.51,4,1,1.518,1.4048,2.39,1.27,-0.84,14.77,-2.39
TRUST,2026-08-20,32.0,→,2.67,2.39,0.19,0.22,1.66,10.25,-0.42,4,1,1.8225,1.4837,5.22,-0.27,-2.47,12.09,-4.67
TRUST,2026-08-21,29.0,↑,5.22,5.22,0.23,0.3,1.79,36.68,40.79,5,0,2.113,0.9789,-6.01,-7.96,-4.57,6.53,-9.4
TRUST,2026-08-22,40.0,↓,6.53,-6.01,0.48,0.9,4.17,41.84,48.99,5,0,2.1166,0.8678,0.83,-1.39,0.14,2.64,-3.61
TRUST,2026-08-23,25.0,→,1.53,0.83,0.42,0.15,0.34,28.9,-6.28,4,1,1.6634,0.9175,-2.89,0.69,-3.17,1.79,-4.96
TRUST,2026-08-24,44.0,↓,0.14,-2.89,1.16,0.33,0.24,45.87,2.24,4,1,1.9385,0.7193,0.71,2.27,0.43,4.82,-2.13
TRUST,2026-08-25,25.0,→,3.12,0.71,0.55,0.51,0.31,45.73,0.05,4,1,1.8037,0.6716,2.96,-0.99,,4.08,-2.82
TRUST,2026-08-26,20.0,→,4.08,2.96,0.46,0.34,0.62,18.92,-12.57,3,2,1.6431,1.1201,-1.37,-3.15,,0.96,-5.61
TRUST,2026-08-27,25.0,→,0.96,-1.37,0.44,0.4,0.88,9.12,-19.75,2,3,1.6117,1.3424,-2.5,,,0.69,-4.3
TRUST,2026-08-28,32.0,↓,0.69,-2.5,0.44,0.52,1.2,21.09,26.78,3,2,1.8,1.173,0.71,,,1.42,-1.0
TRUST,2026-08-29,25.0,→,1.42,0.71,0.4,0.22,0.51,12.15,12.37,3,2,1.4314,1.1212,,,,,
MIRA,2026-07-26,25.0,↓,4.01,-3.24,0.99,0.67,0.52,-84.18,-90.24,1,4,0.2046,2.3825,-8.61,-6.38,-4.15,8.29,-11.16
MIRA,2026-07-27,12.0,↓,0.16,-8.61,0.9,0.21,0.24,-62.89,-83.55,1,4,0.4993,2.1919,4.01,7.68,6.46,18.5,-2.79
MIRA,2026-07-28,10.0,→,7.33,4.01,0.36,0.13,0.16,-46.63,-67.88,2,3,0.6078,1.6698,-1.51,0.84,0.0,13.93,-6.38
MIRA,2026-07-29,14.0,↓,5.54,-1.51,0.2,0.18,0.57,-30.58,-63.52,2,3,0.7771,1.4617,5.11,3.92,0.34,15.67,-3.24
MIRA,2026-07-30,16.0,→,7.16,5.11,0.17,0.12,0.69,-24.93,-59.79,1,4,1.1456,1.9065,-2.59,-3.4,-6.32,10.05,-7.94
MIRA,2026-07-31,18.0,↓,10.05,-2.59,0.25,0.38,2.68,1.62,-2.36,2,3,1.42,1.3748,1.5,-2.0,0.17,7.49,-5.49
MIRA,2026-08-01,27.0,→,6.16,1.5,0.34,0.4,1.79,-13.86,-27.86,2,3,1.2527,1.6558,-2.3,-5.25,-4.1,9.02,-6.89
MIRA,2026-08-02,34.0,↓,-0.16,-2.3,0.59,0.21,0.39,-35.83,-55.14,1,4,1.1398,2.4125,-1.17,1.01,2.52,11.58,-4.7
MIRA,2026-08-03,47.0,↓,8.39,-1.17,0.89,1.31,1.77,-22.61,-50.1,2,3,1.316,2.0849,-1.87,-0.68,1.87,12.9,-3.57
MIRA,2026-08-04,12.0,↓,0.68,-1.87,0.62,0.29,0.35,-42.97,-69.47,2,3,0.9731,2.4398,4.15,5.71,1.21,15.05,-1.56
MIRA,2026-08-05,43.0,→,8.48,4.15,1.02,0.68,0.74,-38.0,-67.44,2,3,1.0616,2.3631,-2.82,-0.33,-1.16,10.47,-5.48
MIRA,2026-08-06,59.0,→,10.47,-2.82,1.21,2.29,1.93,-33.68,-67.2,2,3,1.0555,2.1275,4.44,0.0,-2.05,11.11,-3.76
MIRA,2026-08-07,80.0,↑↑,11.11,4.44,2.2,3.92,3.73,-24.77,-55.42,2,3,1.2222,2.027,-1.8,-2.62,-7.36,4.09,-8.35
MIRA,2026-08-08,61.0,→,4.09,-1.8,1.8,0.99,0.6,-50.81,-69.7,1,4,0.8454,2.5922,-2.5,-4.5,-4.0,0.83,-6.67
MIRA,2026-08-09,49.0,→,0.83,-2.5,1.37,0.38,0.22,-39.28,-59.8,1,4,1.0139,2.3257,1.71,-3.25,-5.3,2.91,-7.69
MIRA,2026-08-10,43.0,→,2.91,1.71,0.6,0.46,0.34,-58.04,-64.88,0,5,0.6615,2.4914,-3.7,-3.19,-6.05,-0.17,-9.24
MIRA,2026-08-11,34.0,↓,-0.17,-3.7,0.43,0.35,0.57,-66.0,-67.89,0,5,0.5063,2.4721,-1.22,-3.32,-4.71,2.09,-5.76
MIRA,2026-08-12,10.0,↓,2.09,-1.22,0.43,0.32,0.72,-46.55,-64.98,1,4,0.6622,1.8159,1.77,-1.24,-3.0,3.0,-4.59
MIRA,2026-08-13,17.0,→,2.47,1.77,0.32,0.2,0.48,-34.43,-39.52,1,4,0.8442,1.7307,-3.82,-5.21,-6.6,1.22,-9.72
MIRA,2026-08-14,33.0,↓,1.22,-3.82,0.41,0.54,1.54,-28.3,-35.74,1,4,0.7977,1.4275,0.9,-0.9,0.0,2.89,-6.14
MIRA,2026-08-15,17.0,→,2.89,0.9,0.38,0.31,0.83,-8.72,-11.3,2,3,1.0757,1.2813,-2.33,-3.76,0.89,1.07,-6.98
MIRA,2026-08-16,12.0,↓,0.89,-2.33,0.39,0.21,0.57,4.59,11.28,2,3,1.4357,1.3095,0.55,1.47,11.36,11.36,-4.76
MIRA,2026-08-17,10.0,→,2.2,0.55,0.31,0.23,0.53,-5.44,-2.14,2,3,1.3305,1.4834,-2.0,2.73,4.55,16.21,-5.28
MIRA,2026-08-18,39.0,→,0.0,-2.0,0.46,0.46,0.91,-5.08,3.07,2,3,1.3846,1.5329,2.97,13.01,8.92,18.59,-3.16
MIRA,2026-08-19,45.0,→,3.53,2.97,0.63,0.69,1.25,17.25,19.96,3,2,1.8178,1.2829,1.81,3.61,3.97,15.16,-2.35
MIRA,2026-08-20,54.0,→,1.99,1.81,0.76,0.81,1.25,21.06,20.37,3,2,1.8811,1.2267,7.8,3.9,3.19,13.12,-4.08
MIRA,2026-08-21,58.0,↑,7.8,7.8,1.19,1.9,2.34,41.67,47.15,4,1,2.0211,0.8321,-5.59,-5.26,-1.64,4.93,-11.02
MIRA,2026-08-22,84.0,→,4.93,-5.59,1.89,3.27,2.82,48.66,56.92,4,1,1.9057,0.6582,2.09,1.39,4.7,6.27,-3.83
MIRA,2026-08-23,64.0,↑,2.79,2.09,1.65,0.91,0.55,63.34,37.55,5,0,1.9518,0.4381,-1.71,2.05,-2.39,4.1,-4.1
MIRA,2026-08-24,57.0,→,0.51,-1.71,1.32,0.59,0.35,55.71,36.9,5,0,1.9101,0.5433,1.04,4.34,-0.35,5.9,-2.26
MIRA,2026-08-25,43.0,→,2.43,1.04,0.78,0.78,0.53,56.25,37.47,5,0,2.0397,0.5711,2.75,-1.72,,4.81,-3.09
MIRA,2026-08-26,41.0,→,2.75,2.75,0.69,0.67,0.84,42.18,30.11,5,0,2.0212,0.8219,0.5,-4.01,,2.01,-5.69
MIRA,2026-08-27,41.0,→,2.01,0.5,0.69,0.68,0.99,48.71,32.78,5,0,2.3834,0.8219,-4.83,,,0.67,-6.16
MIRA,2026-08-28,45.0,↓,0.67,-4.83,0.66,0.69,0.99,48.6,48.99,5,0,2.5232,0.8727,0.35,,,2.8,-0.52
MIRA,2026-08-29,38.0,→,2.8,0.35,0.57,0.37,0.57,43.59,42.29,5,0,2.1394,0.8406,,,,,
