Rank,coin,market,price,VPD,momentum,trigger,1D%,MaxPriceReturn%,Giveback%p,DayHigh,1H%,RSI14,Williams,Vol3/10,TodayValue/10,IntraAccel,SpikeCollapse,PrevRank,PrevVPD,VPDVelocity,VPDVelocityPerHour,RankChange,NEW_MARKET,NEW_TOP10,Rocket,RocketReason,Status
221,EGLD,KRW-EGLD,5945.0,25.0,→,-,-5.26,0.72,5.98,6320.0,0.08,56.8,-68.8,0.69,0.06,0.07,True,220.0,25.0,0.0,0.0,-1.0,False,False,False,-,-
222,BTT,KRW-BTT,0.000448,24.0,↑,-,1.13,2.48,1.35,0.000454,0.0,82.0,-10.5,1.86,0.76,0.35,True,72.0,53.0,-29.0,-1.21,-150.0,False,False,False,-,-
223,RVN,KRW-RVN,3.02,24.0,→,-,-1.31,2.29,3.59,3.13,0.0,27.9,-91.2,2.56,0.62,0.28,True,43.0,59.0,-35.0,-1.46,-180.0,False,False,False,-,-
224,ELF,KRW-ELF,90.1,23.0,→,-,1.92,2.83,0.9,90.9,-0.11,56.8,-68.2,0.31,0.39,0.71,True,222.0,25.0,-2.0,-0.08,-2.0,False,False,False,-,-
225,BOUNTY,KRW-BOUNTY,17.5,23.0,↑,-,1.16,2.31,1.16,17.7,0.57,54.6,-45.5,0.83,0.38,0.35,True,40.0,60.0,-37.0,-1.54,-185.0,False,False,False,-,-
226,MBL,KRW-MBL,1.0,23.0,→,-,0.2,2.2,2.0,1.02,-0.99,57.6,-53.8,0.35,0.38,0.51,True,245.0,20.0,3.0,0.13,19.0,False,False,False,-,-
227,KAITO,KRW-KAITO,417.0,23.0,→,-,0.48,3.13,2.65,428.0,-0.48,24.6,-76.1,0.74,0.33,0.32,False,215.0,25.0,-2.0,-0.08,-12.0,False,False,False,-,-
228,GAME2,KRW-GAME2,1.24,23.0,→,-,2.48,3.31,0.83,1.25,0.0,64.8,-46.9,0.33,0.26,0.61,True,247.0,20.0,3.0,0.13,19.0,False,False,False,-,-
229,ICP,KRW-ICP,3722.0,23.0,↑,-,0.59,2.68,2.08,3799.0,0.05,63.0,-52.4,0.23,0.19,0.5,True,221.0,25.0,-2.0,-0.08,-8.0,False,False,False,-,-
230,MIRA,KRW-MIRA,65.2,23.0,↑,-,1.4,2.95,1.56,66.2,0.31,57.5,-64.7,0.54,0.15,0.08,True,153.0,40.0,-17.0,-0.71,-77.0,False,False,False,-,-
231,ORBS,KRW-ORBS,8.71,23.0,→,-,2.11,2.34,0.23,8.73,-0.23,61.0,-68.4,0.6,0.12,0.04,True,68.0,54.0,-31.0,-1.29,-163.0,False,False,False,-,-
232,SAFE,KRW-SAFE,135.0,23.0,→,-,3.05,3.05,0.0,135.0,0.0,52.2,-57.1,0.17,0.09,0.32,True,231.0,23.0,0.0,0.0,-1.0,False,False,False,-,-
233,MED,KRW-MED,2.14,23.0,→,-,0.47,2.35,1.88,2.18,0.0,60.9,-56.0,0.22,0.08,0.2,True,230.0,23.0,0.0,0.0,-3.0,False,False,False,-,-
234,SKR,KRW-SKR,24.9,23.0,↓,-,-1.19,3.97,5.16,26.2,0.0,53.9,-72.7,0.17,0.07,0.16,True,203.0,31.0,-8.0,-0.33,-31.0,False,False,False,-,-
235,ELSA,KRW-ELSA,68.0,23.0,→,-,2.41,3.46,1.05,68.7,-0.29,57.3,-66.8,0.11,0.07,0.44,True,232.0,23.0,0.0,0.0,-3.0,False,False,False,-,-
236,AZTEC,KRW-AZTEC,19.5,23.0,→,-,1.04,3.11,2.07,19.9,-0.51,49.1,-75.3,0.13,0.04,0.16,True,261.0,16.0,7.0,0.29,25.0,False,False,False,-,-
237,T,KRW-T,5.93,23.0,→,-,1.72,2.4,0.69,5.97,-0.17,53.4,-70.8,0.05,0.03,0.48,True,223.0,25.0,-2.0,-0.08,-14.0,False,False,False,-,-
238,MEGA,KRW-MEGA,50.5,22.0,↓,-,-1.56,0.78,2.34,51.7,0.0,47.9,-87.1,0.81,0.38,0.3,True,191.0,34.0,-12.0,-0.5,-47.0,False,False,False,-,-
239,TIA,KRW-TIA,480.0,22.0,→,-,-0.62,1.86,2.48,492.0,0.42,48.1,-85.5,0.47,0.32,0.69,True,208.0,30.0,-8.0,-0.33,-31.0,False,False,False,-,-
240,SIGN,KRW-SIGN,14.7,22.0,↑,-,1.38,2.07,0.69,14.8,0.68,72.2,-18.4,0.36,0.24,0.48,False,201.0,31.0,-9.0,-0.38,-39.0,False,False,False,-,-
241,LAYER,KRW-LAYER,94.7,22.0,→,-,0.11,1.06,0.95,95.6,0.0,52.0,-81.6,0.27,0.14,0.3,True,244.0,20.0,2.0,0.08,3.0,False,False,False,-,-
242,SPX,KRW-SPX,670.0,22.0,→,-,-0.45,1.04,1.49,680.0,0.75,48.1,-87.7,0.34,0.07,0.17,True,269.0,13.0,9.0,0.38,27.0,False,False,False,-,-
243,QKC,KRW-QKC,3.23,22.0,→,-,-0.31,0.93,1.23,3.27,0.31,52.7,-82.6,0.31,0.06,0.05,True,252.0,19.0,3.0,0.13,9.0,False,False,False,-,-
244,MOC,KRW-MOC,24.6,22.0,↓,-,0.0,1.22,1.22,24.9,-1.2,51.0,-85.8,0.11,0.04,0.23,True,237.0,22.0,0.0,0.0,-7.0,False,False,False,-,-
245,DRV,KRW-DRV,205.0,22.0,→,-,1.49,1.49,0.0,205.0,0.0,52.4,-85.5,0.14,0.03,0.14,True,236.0,22.0,0.0,0.0,-9.0,False,False,False,-,-
246,ZRX,KRW-ZRX,148.0,21.0,↑,-,8.03,10.22,2.19,151.0,0.0,65.3,-13.6,1.01,1.28,0.51,True,114.0,46.0,-25.0,-1.04,-132.0,False,False,False,-,-
247,WAXP,KRW-WAXP,6.34,21.0,↑,-,3.09,3.58,0.49,6.37,0.32,63.8,-23.3,0.42,0.37,0.8,True,187.0,35.0,-14.0,-0.58,-60.0,False,False,False,-,-
248,CC,KRW-CC,132.0,21.0,↓,-,-0.75,2.26,3.01,136.0,0.0,34.4,-93.2,0.76,0.33,0.39,False,168.0,37.0,-16.0,-0.67,-80.0,False,False,False,-,-
249,TAIKO,KRW-TAIKO,110.0,21.0,→,-,0.92,2.75,1.83,112.0,0.0,52.1,-39.6,0.34,0.25,0.61,True,219.0,25.0,-4.0,-0.17,-30.0,False,False,False,-,-
250,HIVE,KRW-HIVE,63.9,21.0,↑,-,2.73,6.59,3.86,66.3,-0.16,58.4,-67.6,0.18,0.17,1.03,True,209.0,29.0,-8.0,-0.33,-41.0,False,False,False,-,-
251,RAY,KRW-RAY,2065.0,20.0,↓,-,-9.11,4.67,13.78,2378.0,-0.48,74.7,-24.4,1.09,0.62,0.42,True,125.0,43.0,-23.0,-0.96,-126.0,False,False,False,-,-
252,NXPC,KRW-NXPC,287.0,20.0,→,-,1.77,3.19,1.42,291.0,0.0,44.8,-52.6,0.6,0.32,0.16,True,116.0,46.0,-26.0,-1.08,-136.0,False,False,False,-,-
253,DOS,KRW-DOS,294.0,20.0,→,-,2.08,3.82,1.74,299.0,-0.68,25.5,-85.5,0.69,0.32,0.4,False,256.0,17.0,3.0,0.13,3.0,False,False,False,-,-
254,CRO,KRW-CRO,81.2,20.0,↑,-,5.45,5.45,0.0,81.2,0.12,57.6,-56.2,0.46,0.3,0.15,True,142.0,41.0,-21.0,-0.88,-112.0,False,False,False,-,-
255,ORCA,KRW-ORCA,1955.0,20.0,→,-,-2.15,4.3,6.46,2084.0,0.1,61.9,-56.4,0.23,0.27,0.64,True,248.0,20.0,0.0,0.0,-7.0,False,False,False,-,-
256,GRT,KRW-GRT,24.6,20.0,→,-,2.5,5.0,2.5,25.2,0.0,54.4,-62.5,0.33,0.24,0.66,True,197.0,33.0,-13.0,-0.54,-59.0,False,False,False,-,-
257,VANA,KRW-VANA,1283.0,20.0,↑,-,3.55,4.44,0.89,1294.0,0.0,54.9,-63.1,0.23,0.13,0.39,True,266.0,14.0,6.0,0.25,9.0,False,False,False,-,-
258,ZK,KRW-ZK,13.1,20.0,→,-,2.34,4.69,2.34,13.4,0.0,52.7,-59.1,0.23,0.12,0.39,True,246.0,20.0,0.0,0.0,-12.0,False,False,False,-,-
259,PIEVERSE,KRW-PIEVERSE,1637.0,20.0,↓,-,-2.56,4.64,7.2,1758.0,-0.55,57.6,-43.2,0.24,0.08,0.18,True,265.0,14.0,6.0,0.25,6.0,False,False,False,-,-
260,YGG,KRW-YGG,31.7,20.0,↑,-,5.32,5.32,0.0,31.7,0.63,51.4,-79.1,0.14,0.07,0.32,True,270.0,13.0,7.0,0.29,10.0,False,False,False,-,-
261,CAP,KRW-CAP,60.9,20.0,→,-,0.5,2.48,1.98,62.1,-0.81,47.0,-90.0,0.1,0.07,0.55,True,272.0,12.0,8.0,0.33,11.0,False,False,False,-,-
262,SPK,KRW-SPK,26.2,20.0,↑,-,0.77,2.31,1.54,26.6,0.38,51.5,-87.0,0.14,0.06,0.29,True,259.0,17.0,3.0,0.13,-3.0,False,False,False,-,-
263,META2,KRW-META2,6755.0,20.0,↑,-,1.27,2.1,0.82,6810.0,0.45,46.9,-86.0,0.18,0.05,0.27,True,279.0,7.0,13.0,0.54,16.0,False,False,False,-,-
264,SONIC,KRW-SONIC,28.6,19.0,→,-,-0.69,1.74,2.43,29.3,0.35,43.9,-81.2,0.56,0.29,0.46,True,199.0,32.0,-13.0,-0.54,-65.0,False,False,False,-,-
265,TOSHI,KRW-TOSHI,0.155,19.0,→,-,0.65,1.3,0.65,0.156,0.0,42.2,-88.1,0.91,0.22,0.24,True,273.0,10.0,9.0,0.38,8.0,False,False,False,-,-
266,HOME,KRW-HOME,7.48,19.0,↓,-,-0.93,0.66,1.59,7.6,0.0,38.0,-84.8,0.28,0.14,0.4,True,281.0,5.0,14.0,0.58,15.0,False,False,False,-,-
267,G,KRW-G,5.08,19.0,→,-,1.2,1.59,0.4,5.1,-0.2,43.5,-86.0,0.37,0.08,0.07,True,225.0,24.0,-5.0,-0.21,-42.0,False,False,False,-,-
268,ARDR,KRW-ARDR,33.5,17.0,→,-,3.08,4.62,1.54,34.0,0.0,72.0,-40.7,1.17,0.29,0.17,True,194.0,33.0,-16.0,-0.67,-74.0,False,False,False,-,-
269,ZKP,KRW-ZKP,60.9,17.0,→,-,3.57,4.59,1.02,61.5,-0.16,48.2,-88.0,0.27,0.17,0.55,True,274.0,10.0,7.0,0.29,5.0,False,False,False,-,-
270,CFG,KRW-CFG,148.0,17.0,↑,-,1.37,4.11,2.74,152.0,0.68,39.0,-74.1,0.32,0.11,0.2,True,275.0,10.0,7.0,0.29,5.0,False,False,False,-,-
271,ZAMA,KRW-ZAMA,66.1,17.0,↑,-,3.77,5.81,2.04,67.4,0.15,49.9,-81.7,0.21,0.11,0.39,True,278.0,10.0,7.0,0.29,7.0,False,False,False,-,-
272,MANTRA,KRW-MANTRA,6.01,17.0,→,-,2.04,3.4,1.36,6.09,-0.33,37.0,-82.6,0.29,0.1,0.25,True,282.0,3.0,14.0,0.58,10.0,False,False,False,-,-
273,ICX,KRW-ICX,19.8,17.0,→,-,1.54,2.05,0.51,19.9,0.0,36.4,-80.5,0.19,0.04,0.19,True,276.0,10.0,7.0,0.29,3.0,False,False,False,-,-
274,DOOD,KRW-DOOD,2.32,16.0,→,-,4.98,7.24,2.26,2.37,-0.85,60.4,-63.0,0.27,0.28,0.99,True,249.0,20.0,-4.0,-0.17,-25.0,False,False,False,-,-
275,WAVES,KRW-WAVES,381.0,16.0,↑,-,7.63,8.76,1.13,385.0,0.26,63.2,-55.8,0.86,0.25,0.12,True,101.0,49.0,-33.0,-1.38,-174.0,False,False,False,-,-
276,CHIP,KRW-CHIP,65.4,16.0,↑,-,2.67,9.42,6.75,69.7,0.31,59.7,-59.3,0.19,0.1,0.2,True,260.0,16.0,0.0,0.0,-16.0,False,False,False,-,-
277,QUID,KRW-QUID,86.3,15.0,→,-,-2.15,0.45,2.61,88.6,0.7,51.1,-91.2,0.4,0.3,0.66,True,263.0,15.0,0.0,0.0,-14.0,False,False,False,-,-
278,FOLD,KRW-FOLD,68.9,15.0,→,-,-0.86,1.87,2.73,70.8,0.58,6.0,-96.3,0.49,0.19,0.37,False,267.0,13.0,2.0,0.08,-11.0,False,False,False,-,-
279,VVV,KRW-VVV,33270.0,15.0,↑,-,4.07,5.0,0.94,33570.0,0.21,70.1,-40.2,0.78,0.17,0.08,True,192.0,33.0,-18.0,-0.75,-87.0,False,False,False,-,-
280,GEOD,KRW-GEOD,297.0,15.0,↑,-,0.68,0.68,0.0,297.0,0.34,55.4,-91.2,0.15,0.06,0.32,True,264.0,15.0,0.0,0.0,-16.0,False,False,False,-,-
281,LPT,KRW-LPT,1857.0,15.0,↓,-,-0.38,1.07,1.45,1884.0,-0.16,47.7,-90.7,0.11,0.04,0.12,True,277.0,10.0,5.0,0.21,-4.0,False,False,False,-,-
282,RED,KRW-RED,177.0,14.0,→,-,2.31,4.05,1.73,180.0,0.0,63.9,-17.1,0.22,0.19,0.59,True,254.0,18.0,-4.0,-0.17,-28.0,False,False,False,-,-
283,CRV,KRW-CRV,453.0,12.0,↓,-,-0.66,1.97,2.63,465.0,0.0,36.8,-92.0,0.22,0.05,0.17,True,280.0,7.0,5.0,0.21,-3.0,False,False,False,-,-
284,INJ,KRW-INJ,8225.0,9.0,↑,-,4.98,7.02,2.04,8385.0,0.06,65.5,-21.1,0.09,0.08,0.27,True,240.0,21.0,-12.0,-0.5,-44.0,False,False,False,-,-
